id,title,price,brand,list,availability,code,size,os,model_cpu,freq,ram_size,hard_typee,storage,videocard,videocard_type,videocard_mem,code2
s114,"Ноутбук Acer Extensa EX2519, Black (NX.EFAER.122)",139990,Acer,Ноутбуки,Нет в наличии,308848,,Windows 10 Pro,Intel® Celeron® N3060,1.6 ГГц,4 ГБ,HDD,500 Гб,Intel HD Graphics,500,SMA (выделяется из операт. памяти),(NX.EFAER.122)
s115,"Ноутбук Asus Vivobook, X420UA-EK295T Transparent Silver (90NB0LA1-M07080)",209990,Asus,Ноутбуки,Нет в наличии,392647,"14″ - 35,56 см",Windows 10,‎Intel® Core™ i3-7020U,2.3 ГГц,8 ГБ,SSD,512 ГБ,Intel HD Graphics,620,,(90NB0LA1-M07080)
s116,Ноутбук Acer Nitro 5 AN515-44-R329 (NH.Q9GER.006),419990,Acer,Ноутбуки,Нет в наличии,462690,"15,6″ - 39,62 см",DOS,AMD® Ryzen ™ 5 4600H,3.0 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(NH.Q9GER.006)
s117,Ноутбук Apple MacBook 12″ Core M3 1.1/8/256SSD Space Gray (MLH72),521890,Apple,Ноутбуки,Нет в наличии,70779,"12″ - 30,48 см",MacOS X,Intel® Core™ m3-6Y30,1.10 ГГц,4 ГБ,SSD,256 Гб,Intel HD Graphics,,SMA (выделяется из операт. памяти),(MLH72)
s118,Ноутбук Acer Aspire 7 Gaming A715-75G-52C8 (NH.Q99ER.002),369990,Acer,Ноутбуки,Нет в наличии,462674,"15,6″ - 39,62 см",DOS,Intel ® Core™ i5-10300H,2.5 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,(NH.Q99ER.002)
s119,Ноутбук Acer Spin 3 SP314-54N-36CU (NX.HQCER.002),239990,Acer,Ноутбуки,Нет в наличии,436980,"14″ - 35,56 см",Windows 10,Intel® Core™ i3 1005G1,1.2 ГГц,8 ГБ,SSD,256 Гб,Intel UHD Graphics,Intel® UHD Graphics,SMA (выделяется из операт. памяти),(NX.HQCER.002)
s120,Ноутбук Asus Laptop M509DA-EJ188T Transparent Silver  (90NB0P51-M02650),189990,Asus,Ноутбуки,Нет в наличии,392643,"15,6″ - 39,62 см",Windows 10,AMD Ryzen 3 2200U,2.6 ГГц,4 ГБ,HDD,500 Гб,,,,(90NB0P51-M02650)
s121,Ноутбук Lenovo Ideapad S145-15API (81UT00GCRK),219990,Lenovo,Ноутбуки,Нет в наличии,456862,"15,6″ - 39,62 см",Windows 10 Home,AMD Ryzen 3 3200U,2.6 ГГц,4 ГБ,HDD,500 Гб,Intel HD Graphics,630M,SMA (выделяется из операт. памяти),(81UT00GCRK)
s122,Ноутбук Acer Aspire 3 A315-42 R381TUN (NX.HF9ER.02K),199990,Acer,Ноутбуки,Нет в наличии,462629,"15,6″ - 39,62 см",DOS,AMD Ryzen 3 3200U,2.6 ГГц,8 ГБ,HDD,1 ТБ,Radeon HD,Vega 3,UMA,(NX.HF9ER.02K)
s123,Ноутбук Acer Aspire 3 A315-34 C41TUN (NX.HE3ER.00B),149990,Acer,Ноутбуки,Нет в наличии,467018,"15,6″ - 39,62 см",DOS,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,1 ТБ,Intel UHD Graphics,600,,(NX.HE3ER.00B)
s124,Ноутбук Acer Extensa EX2519-P1KB (NX.EFAER.12A),159990,Acer,Ноутбуки,Нет в наличии,393475,"15,6″ - 39,62 см",Windows 10 Home,Intel® Pentium® N3710,1.6 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,,SMA (выделяется из операт. памяти),(NX.EFAER.12A)
